Question,LLM Response
"Who is the current drummer of the band who did the song ""What Lovers Do""?",Matt Flynn
"What role did the actor who played Colonel Sherman T. Potter in ""M*A*S*H"" play in ""Kentucky Jones""",Seldom Jackson
Who is the father of the director of the film The Cup (1999 Film)?,Thinley Norbu
"Who is the paternal grandfather of Euphemia Ii, Countess Of Ross?","The context does not provide information regarding the paternal grandfather of Euphemia II, Countess of Ross."
Who is the paternal grandfather of Chiang Hsiao-Wu?,The context does not provide information about the paternal grandfather of Chiang Hsiao-Wu.
"Who is Victoria Sackville-West, Baroness Sackville's child-in-law?",Harold Nicolson
What year was the publisher of Eye To The Telescope (Magazine) founded?,2011
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan
"""Lost!"" is a song by a British rock band formed in what year?",1975
What was the publisher of Hürriyet Daily News founded?,Hürriyet Daily News was founded in 1961.
What year was the publisher of The Rip Off Review Of Western Culture founded?,1969
What year did the largest convention center in the U.S. state of Georgia open?,1976
Who is Alfonso Jordan's maternal grandmother?,The context does not provide information about Alfonso Jordan's maternal grandmother.
When did Eduardo Frei Ruiz-Tagle's father die?,1970
Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer
"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire
Who is the paternal grandfather of Ollom Fotla?,The context does not provide information about the paternal grandfather of Ollom Fotla.
When was Duchess Marie Gabrielle In Bavaria's mother born?,There is no mention of Duchess Marie Gabrielle In Bavaria's mother in the given context.
Charles Barkley changed his jersey number to #32 in honor of a player born in which year ?,"No information is given in the context about Charles Barkley changing his jersey number or honoring any player, so an answer cannot be provided."
What year was the publisher of Qst founded?,1914
Who is the father of the director of Little Joe (Film)?,Rudolf Hausner
"Who is Hugh Cholmondeley, 1St Earl Of Cholmondeley's paternal grandmother?",Elizabeth Cradock
Where was the author of Hannibal and Scipio educated at?,"Exeter College, Oxford"
"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?","The context provided does not mention any information about the actor who starred in ""The Soul Man"" hosting the Black Movie Awards, therefore I am unable to provide an answer."
When is Susanne Porsche's husband's birthday?,10 May 1943
Who is Sun Luyu's paternal grandfather?,The context does not provide information about Sun Luyu's paternal grandfather.
Who is the mother of the director of the film Brenda Brave?,Not available.
What year was the publisher of National Contest Journal founded?,The year of foundation for the publisher of National Contest Journal is not provided in the given context.
Who is the father of the director of the film My 20Th Century?,György Enyedi
