x,color,k,chunk_type,chunk_size,answer_relevancy,faithfulness,context_recall,context_precision,answer_correctness,EM,F1,avg_retrieve_context,avg_llm_response,avg_total,sample_size
0.099,0,15,words,50,0.9590857256717974,1.0,1.0,0.7551527176369197,0.7266072304892842,0.0,0.33251231527093594,0.0590470552444458,1.2296686172485352,1.288715672492981,2
0.185,2,15,words,50,0.6460661103672987,0.6999666999667,0.8846153846153846,0.8050935175532957,0.5727182659852205,0.0,0.43237225389481027,0.059047055244445784,1.6101760864257812,1.6692231416702268,13
0.224,3,15,words,50,0.7277702906559264,0.7916666666666666,0.8333333333333334,0.6535523889351927,0.48705144228476666,0.0,0.3693852792230074,0.059047055244445784,1.0464768608411152,1.105523916085561,12
0.079,4,15,words,50,0.7695637720000913,0.868140589569161,0.8650793650793651,0.6741982524906687,0.5468443869045778,0.0,0.31315117979699736,0.05904705524444579,1.6125138600667317,1.6715609153111781,21
0.034,5,15,words,50,0.7397159778460317,0.8904761904761905,0.7857142857142857,0.6866239315917239,0.5159845829368633,0.0,0.4041270653005317,0.05904705524444578,1.2314172301973616,1.2904642854418071,14
0.089,6,15,words,50,0.6370942625442992,0.7916666666666666,0.9166666666666666,0.6550764050506365,0.6361941590099248,0.0,0.36863876863876865,0.059047055244445805,1.1936896642049153,1.2527367194493613,6
0.072,7,15,words,50,0.7632800860926826,0.9,1.0,0.5761904761522698,0.33553635262201287,0.0,0.27377911848500086,0.0590470552444458,2.620256042480469,2.6793030977249144,5
0.087,8,15,words,50,0.8381741855655085,0.9375,1.0,0.8162832884382625,0.7616006523327713,0.0,0.4817214907046017,0.0590470552444458,1.8773542642593384,1.9364013195037844,8
0.076,9,15,words,50,0.6094925607721996,0.7962962962962963,1.0,0.7490740740488735,0.6861498299102086,0.0,0.4671857619577308,0.05904705524444579,3.0119205315907798,3.0709675868352257,3
0.094,10,15,words,50,0.9621777119617749,0.9285714285714286,1.0,0.5879056306785256,0.7278306528733516,0.0,0.5865721452303532,0.0590470552444458,1.0779804587364197,1.1370275139808654,4
0.082,11,15,words,50,0.9581812154542012,0.6944444444444443,1.0,0.8988444425369325,0.6293543673212768,0.0,0.6271305799934832,0.059047055244445805,0.832303524017334,0.8913505792617799,6
0.101,12,15,words,50,0.9490395787586684,0.9166666666666666,1.0,0.7526468060387753,0.7655670132373382,0.0,0.48144019061311055,0.059047055244445805,3.1458222468694053,3.204869302113851,6
0.1,0,5,sentences,10,0.9569551847525206,1.0,1.0,0.7083333333104167,0.73878169105524,0.0,0.3925339366515837,0.08528189875862816,0.9116835594177246,0.9969654581763527,2
0.238,2,5,sentences,10,0.7109297782615891,0.8274161735700196,0.7692307692307693,0.8282051281602456,0.5703461713457721,0.0,0.49322034284656274,0.08528189875862814,1.6008824568528395,1.6861643556114672,13
0.312,3,5,sentences,10,0.7796716299425718,0.8194444444444443,0.9166666666666666,0.7861111110617592,0.6779811291545467,0.0,0.41802885253734456,0.08528189875862814,0.715621829032898,0.8009037277915262,12
0.111,4,5,sentences,10,0.7164875662123983,0.8900226757369614,0.7976190476190477,0.7825396824958862,0.6544013345355422,0.0,0.3336968779200401,0.08528189875862816,1.507661501566569,1.5929434003251974,21
0.035,5,5,sentences,10,0.7415112416971662,0.8571428571428571,1.0,0.863492063443806,0.6494404226519797,0.0,0.49271864490300205,0.08528189875862814,0.9386960778917585,1.023977976650387,14
0.074,6,5,sentences,10,0.44701140602254896,0.75,0.8333333333333334,0.4749999999777083,0.5588602425155575,0.0,0.20217740558715558,0.08528189875862814,0.6612626711527506,0.7465445699113787,6
0.068,7,5,sentences,10,0.7362245861097451,0.9,0.8,0.606666666613,0.6554467171245018,0.0,0.5022105109061631,0.08528189875862816,1.4202581882476806,1.505540087006309,5
0.091,8,5,sentences,10,0.8330189595400728,0.9375,1.0,0.956249999953698,0.7571700953770627,0.0,0.46112525900900186,0.08528189875862816,0.9526542723178864,1.0379361710765145,8
0.071,9,5,sentences,10,0.9572447684457165,1.0,1.0,0.8796296295808642,0.9223650851800023,0.0,0.6416805416805417,0.08528189875862817,2.0221242109934487,2.1074061097520773,3
